name;description;category;brand;pack_size;price;stock;image_url
Paracetamol Generis 500 mg;This medication is indicated for the treatment of mild to moderate pain and fever relief.;Pain Relief;Generis;20 tablets;0.90;50;images/products/Paracetamol_Generis_500mg.jpg
Ibuprofen Farmoz 200 mg;Anti-inflammatory medication indicated for the relief of mild to moderate, short-term pain, reducing inflammation and fever.;Pain Relief;Farmoz;20 tablets;1.90;50;images/products/Ibuprofen_Farmoz_200mg.jpg
Nurofen Xpress 200 mg;Anti-inflammatory medication  indicated for the treatment of mild to moderate pain and fever relief.;Pain Relief;Nurofen;20 soft capsules;6.79;30;images/products/Nurofen_Xpress_200mg.jpg
Ben-U-Ron 500 mg;This medication is indicated for the treatment of mild to moderate pain and fever relief.;Pain Relief;Ben-U-Ron;20 capsules;3.65;60;images/products/Ben-U-Ron_Cap_500mg.jpg
Ben-U-Ron Direct 500 mg;This medication is indicated for the treatment of mild to moderate pain and fever relief.;Pain Relief;Ben-U-Ron;10 sachets;5.55;30;images/products/Ben-U-Ron_Direct_500mg.jpg
Panadol Extra 500 mg + 65 mg;This medication is indicated for the treatment of mild to moderate pain and fever relief.;Pain Relief;Panadol;24 tablets;7.49;20;images/products/Panadol_Extra.jpg
Paracetamol Farmoz Oral Suspension 40 mg/mL;This medication is indicated for the treatment of mild to moderate pain and fever relief.;Pain Relief;Farmoz;85 mL;2.79;40;images/products/Paracetamol_Farmoz_40mg_mL.jpg
Brufen Oral Suspension 20 mg/mL;Anti-inflammatory medication indicated for the treatment of mild to moderate, short-term pain  and fever relief.;Pain Relief;Brufen;200 mL;7.30;40;images/products/Brufen_20mg_mL.jpg
Nurofen Musc Patches 200 mg;Anti-inflammatory medication indicated for the short-term treatment of local pain.;Pain Relief;Nurofen;4 patches;16.99;10;images/products/Nurofen_Patches.jpg
Voltaren 25 mg;Anti-inflammatory medication indicated for the relief of mild to moderate, short-term pain, reducing inflammation and fever.;Pain Relief;Voltaren;20 soft capsules;10.40;30;images/products/Voltaren_25mg.jpg
Voltaren Patches 140 mg;Anti-inflammatory medication indicated for the short-term treatment of local pain.;Pain Relief;Voltaren;5 patches;17.49;15;images/products/Voltaren_Patches.jpg
Voltaren Emulgel;Anti-inflammatory medication indicated for the treatment of pain, inflammation and swelling.;Pain Relief;Voltaren;100 g;13.89;40;images/products/Voltaren_Emulgel.jpg
Brufen Liq 200 mg;Anti-inflammatory medication indicated for the treatment of mild to moderate, short-term pain  and fever relief.;Pain Relief;Brufen;20 sachets;7.18;20;images/products/Brufen_Liq_200mg.jpg
Nurofen 100 mg;Anti-inflammatory medication indicated for the treatment of mild to moderate, short-term pain  and fever relief.;Pain Relief;Nurofen;24 lozenges;11.45;20;images/products/Nurofen_100mg.jpg
Cêgripe;This medication is indicated for the symptomatic treatment of flu-like syndrome and colds.;Cold & Flu;Cêgripe;20 tablets;11.75;35;images/products/Cêgripe.jpg
Ilvico;This medication is indicated for the treatment of cold and flu symptoms.;Cold & Flu;Ilvico;20 tablets;8.99;35;images/products/Ilvico.jpg
Antigrippine Trieffect;This medication is indicated for short-term relief of cold and flu symptoms.;Cold & Flu;Antigrippine;16 capsules;11.05;30;images/products/Antigrippine_Trieffect.jpg
